"","rii","rii_infci","rii_supci","encuesta","ccaa","sexo","nombre","nombre_notilde","abreviatura","id_mapa","fr"
"179",1.47402978428814,0.990168646857862,2.19433710799009,2006-01-01,9,"Hombre","Cataluña","Catalunya","CT",69,"diabetes"
"180",1.57775034476648,0.995410563795972,2.50077328988541,2006-01-01,10,"Hombre","Comunitat Valenciana","Comunitat Valenciana","VC",77,"diabetes"
"181",1.595201403417,1.06319656755269,2.3934120887175,2006-01-01,11,"Hombre","Extremadura","Extremadura","EX",70,"diabetes"
"182",1.63394935260557,1.15045785738933,2.32063301557046,2006-01-01,12,"Hombre","Galicia","Galicia","GA",71,"diabetes"
"183",1.61123344405424,1.09299321337159,2.37519609406421,2006-01-01,13,"Hombre","Madrid","Madrid","MD",72,"diabetes"
"184",1.70574164745157,1.16621096255786,2.4948784235995,2006-01-01,14,"Hombre","Murcia","Murcia","MC",73,"diabetes"
"185",1.61284548338362,1.10920107064529,2.3451749390736,2006-01-01,15,"Hombre","Navarra","Navarra","NC",74,"diabetes"
"186",1.62417500884423,1.11918416973402,2.35702445646732,2006-01-01,16,"Hombre","País Vasco","Pais Vasco","PV",75,"diabetes"
"187",1.55893048562192,1.05337574251336,2.30712001512656,2006-01-01,17,"Hombre","La Rioja","La Rioja","RI",76,"diabetes"
"188",1.73152063118723,1.12722628480431,2.65977092323351,2009-01-01,1,"Hombre","Andalucía","Andalucia","AN",61,"diabetes"
"189",1.54341886811649,1.07190774481061,2.2223384558891,2009-01-01,2,"Hombre","Aragón","Aragon","AR",62,"diabetes"
"190",1.47550455133305,1.00682317249454,2.16235952894336,2009-01-01,3,"Hombre","Asturias","Asturias","AS",63,"diabetes"
"191",1.59679740268705,1.0938679577934,2.33095953406626,2009-01-01,4,"Hombre","Balears","Balears","IB",64,"diabetes"
"192",1.66362673611906,1.12853462598586,2.45243154565364,2009-01-01,5,"Hombre","Canarias","Canarias","CN",65,"diabetes"
"193",1.62742660937859,1.13914729991819,2.32499990923358,2009-01-01,6,"Hombre","Cantabria","Cantabria","CB",66,"diabetes"
"194",1.52806159378406,1.05916408716115,2.20454249034843,2009-01-01,7,"Hombre","Castilla y León","Castilla y Leon","CL",67,"diabetes"
"195",1.62092990501207,1.13905617177937,2.30665863726285,2009-01-01,8,"Hombre","Castilla - La Mancha","Castilla - La Mancha","CM",68,"diabetes"
"196",1.54187622070063,1.07926472597733,2.20277956162166,2009-01-01,9,"Hombre","Cataluña","Catalunya","CT",69,"diabetes"
"197",1.75768921436982,1.20408506935367,2.56582483492662,2009-01-01,10,"Hombre","Comunitat Valenciana","Comunitat Valenciana","VC",77,"diabetes"
"198",1.70915654450523,1.19167514245236,2.45135271313411,2009-01-01,11,"Hombre","Extremadura","Extremadura","EX",70,"diabetes"
"199",1.52806159378406,1.03049575295925,2.26587273910891,2009-01-01,12,"Hombre","Galicia","Galicia","GA",71,"diabetes"
"200",1.74892270284035,1.20514513057323,2.53805997544504,2009-01-01,13,"Hombre","Madrid","Madrid","MD",72,"diabetes"
"201",1.78782536249779,1.21754921724569,2.62520765609869,2009-01-01,14,"Hombre","Murcia","Murcia","MC",73,"diabetes"
"202",1.64378251872006,1.14834296123288,2.3529738589147,2009-01-01,15,"Hombre","Navarra","Navarra","NC",74,"diabetes"
"203",1.64378251872006,1.1416105174032,2.36685010137775,2009-01-01,16,"Hombre","País Vasco","Pais Vasco","PV",75,"diabetes"
"204",1.59042297044004,1.10889053782214,2.28105943610192,2009-01-01,17,"Hombre","La Rioja","La Rioja","RI",76,"diabetes"
"205",1.84227275070293,1.28197261869736,2.64745817381906,2011-01-01,1,"Hombre","Andalucía","Andalucia","AN",61,"diabetes"
"206",1.50531172048556,1.04339518826123,2.17172112860451,2011-01-01,2,"Hombre","Aragón","Aragon","AR",62,"diabetes"
