"","rii","rii_infci","rii_supci","encuesta","risk_factor","sexo","ccaa"
"171",1.22273375471434,1.07847975961414,1.38628270172892,2009,"food","Hombres",0
"172",1.18366811445384,1.09493865587514,1.27958785422084,2011,"food","Hombres",0
"173",1.16456678686306,1.04891496243433,1.29297021172912,2014,"food","Hombres",0
"174",1.20827345704927,1.09706051381204,1.33076045362064,2017,"food","Hombres",0
"175",1.18884193462169,1.07686164465246,1.31246678952073,2020,"food","Hombres",0
"176",1.2359900375881,1.07245943156634,1.42445609414413,2001,"food","Mujeres",0
"177",1.74403596592091,1.39848869035009,2.17496320950886,2003,"food","Mujeres",0
"178",1.22283014151226,1.08629544581617,1.3765256595248,2006,"food","Mujeres",0
"179",1.39734518023555,1.21020519309748,1.61342354491965,2009,"food","Mujeres",0
"180",1.30880237785091,1.20634855331999,1.41995749035713,2011,"food","Mujeres",0
"181",1.42828792542113,1.27748636812082,1.59689093270299,2014,"food","Mujeres",0
"182",1.48594072630279,1.34002965000013,1.6477395422445,2017,"food","Mujeres",0
"183",1.31799248728177,1.18336948306356,1.4679305334409,2020,"food","Mujeres",0
